Date,Close/Last,Volume,Open,High,Low
04/28/2021,0.08,--,0.05,0.1,0.05
04/27/2021,0.1,--,0.1,0.1,0.08
04/26/2021,0.08,--,0.15,0.15,0.08
04/23/2021,0.15,--,0.15,0.15,0.13
04/22/2021,0.15,--,0.15,0.18,0.13
04/21/2021,0.13,--,0.13,0.15,0.13
04/20/2021,0.15,--,0.18,0.18,0.15
04/19/2021,0.15,--,0.1,0.15,0.1
04/16/2021,0.08,--,0.08,0.1,0.08
04/15/2021,0.1,--,0.13,0.13,0.08
04/14/2021,0.15,--,0.15,0.15,0.13
04/13/2021,0.15,--,0.15,0.15,0.13
04/12/2021,0.1,--,0.05,0.1,0.05
04/09/2021,0.03,--,0.05,0.08,0.03
04/08/2021,0.05,--,0.08,0.08,0.03
04/07/2021,0.1,--,0.15,0.15,0.08
04/06/2021,0.15,--,0.15,0.15,0.15
04/05/2021,0.15,--,0.13,0.15,0.13
04/01/2021,0.08,--,0.1,0.1,0.08
03/31/2021,0.13,--,0.13,0.13,0.13
03/30/2021,0.13,--,0.13,0.15,0.13
03/29/2021,0.08,--,0.13,0.15,0.08
03/26/2021,0.15,--,0.13,0.15,0.13
03/25/2021,0.15,--,0.08,0.15,0.08
03/24/2021,0.15,--,0.15,0.15,0.15
03/23/2021,0.1,--,0.1,0.1,0.1
03/22/2021,0.03,--,0,0,0
03/19/2021,0.03,--,0,0,0
03/18/2021,0.03,--,0.05,0.05,0.03
03/17/2021,0.08,--,0.05,0.15,0.05
03/16/2021,0.08,--,0.2,0.2,0.08
03/15/2021,0.15,--,0.23,0.23,0.15
03/12/2021,0.25,--,0.3,0.3,0.2
03/11/2021,0.28,--,0.28,0.35,0.28
03/10/2021,0.3,--,0.35,0.35,0.3
03/09/2021,0.35,--,0.4,0.4,0.33
03/08/2021,0.35,--,0.33,0.35,0.33
03/05/2021,0.28,--,0.28,0.3,0.28
03/04/2021,0.28,--,0.28,0.33,0.28
03/03/2021,0.35,--,0.35,0.35,0.35
03/02/2021,0.35,--,0.3,0.38,0.3
03/01/2021,0.28,--,0.3,0.35,0.28
02/26/2021,0.35,--,0.33,0.35,0.3
02/25/2021,0.33,--,0.28,0.4,0.28
02/24/2021,0.28,--,0.3,0.3,0.28
02/23/2021,0.23,--,0.23,0.23,0.23
02/22/2021,0.25,--,0.23,0.28,0.23
02/19/2021,0.23,--,0.23,0.25,0.23
02/18/2021,0.23,--,0.28,0.35,0.18
02/17/2021,0.35,--,0.35,0.35,0.35
02/16/2021,0.35,--,0.35,0.35,0.35
02/12/2021,0.35,--,0.35,0.35,0.35
02/11/2021,0.35,--,0.38,0.38,0.35
02/10/2021,0.35,--,0.35,0.35,0.35
02/09/2021,0.33,--,0.33,0.33,0.3
02/08/2021,0.2,--,0.23,0.28,0.2
02/05/2021,0.23,--,0.23,0.25,0.18
02/04/2021,0.3,--,0.38,0.38,0.28
02/03/2021,0.4,--,0.5,0.5,0.4
02/02/2021,0.5,--,0.6,0.6,0.5
02/01/2021,0.48,--,0.48,0.5,0.45
01/29/2021,0.48,--,0.55,0.55,0.45
01/28/2021,0.55,--,0.63,0.63,0.55
01/27/2021,0.6,--,0.7,0.7,0.6
01/26/2021,0.68,--,0.73,0.73,0.65
01/25/2021,0.7,--,0.7,0.7,0.68
01/22/2021,0.7,--,0.7,0.7,0.7
01/21/2021,0.73,--,0.75,0.75,0.73
01/20/2021,0.75,--,0.8,0.8,0.75
01/19/2021,0.73,--,0.73,0.75,0.73
01/15/2021,0.75,--,0.75,0.75,0.75
01/14/2021,0.75,--,0.75,0.78,0.75
01/13/2021,0.8,--,0.8,0.8,0.8
01/12/2021,0.8,--,0.8,0.8,0.8
01/11/2021,0.8,--,0.8,0.8,0.8
01/08/2021,0.8,--,0.8,0.8,0.8
01/07/2021,0.8,--,0.78,0.83,0.78
01/06/2021,0.78,--,0.78,0.78,0.78
01/05/2021,0.78,--,0.78,0.8,0.78
01/04/2021,0.68,--,0.68,0.73,0.68
12/31/2020,0.65,--,0.68,0.68,0.6
12/30/2020,0.7,--,0.9,0.9,0.7
12/29/2020,0.9,--,0.9,0.9,0.9
12/28/2020,0.8,--,0.78,0.83,0.78
12/24/2020,0.75,--,0.78,0.78,0.73
12/23/2020,0.75,--,0.75,0.8,0.75
12/22/2020,0.78,--,0.85,0.85,0.75
12/21/2020,0.78,--,0.8,0.8,0.75
12/18/2020,0.8,--,0.8,0.8,0.8
12/17/2020,0.8,--,0.75,0.83,0.75
12/16/2020,0.75,--,0.75,0.75,0.75
12/15/2020,0.7,--,0.7,0.7,0.7
12/14/2020,0.6,--,0.7,0.7,0.6
12/11/2020,0.65,--,0.65,0.68,0.65
12/10/2020,0.7,--,0.65,0.7,0.65
12/09/2020,0.7,--,0.7,0.7,0.7
12/08/2020,0.68,--,0.73,0.73,0.68
12/07/2020,0.7,--,0.75,0.78,0.7
12/04/2020,0.75,--,0.75,0.75,0.75
12/03/2020,0.75,--,0.75,0.75,0.75
12/02/2020,0.75,--,0.8,0.8,0.75
12/01/2020,0.8,--,0.8,0.83,0.8
11/30/2020,0.75,--,0.75,0.75,0.73
11/27/2020,0.73,--,0.83,0.85,0.73
11/25/2020,0.8,--,0.8,0.83,0.8
11/24/2020,0.8,--,0.85,0.85,0.8
11/23/2020,0.7,--,0.6,0.7,0.6
11/20/2020,0.58,--,0.58,0.6,0.58
11/19/2020,0.6,--,0.65,0.65,0.48
11/18/2020,0.75,--,0.8,0.83,0.75
11/17/2020,0.8,--,0.85,0.85,0.8
11/16/2020,0.75,--,0.85,0.85,0.75
11/13/2020,0.83,--,0.85,0.85,0.83
11/12/2020,0.85,--,0.85,0.88,0.83
11/11/2020,0.9,--,0.9,0.9,0.9
11/10/2020,0.9,--,0.95,0.95,0.9
11/09/2020,0.88,--,0.85,0.88,0.83
