Date,Close/Last,Volume,Open,High,Low
04/27/2021,4178.9,8,4180.1,4180.1,4180.1
04/25/2021,4136.3,N/A,4136.3,4136.3,4136.3
04/23/2021,4171.5,42,4128.3,4136.7,4128.3
04/22/2021,4179.4,5,4165.8,4166,4165.8
04/21/2021,4164.8,9,4125.4,4129.7,4125.4
04/20/2021,4126.6,N/A,4126.6,4126.6,4126.6
04/19/2021,4155.5,14,4167.8,4167.8,4166.1
04/16/2021,4176.3,N/A,4176.3,4176.3,4176.3
04/15/2021,4162.4,16,4121.8,4134.7,4121.8
04/14/2021,4117.9,9,4133.1,4134,4133.1
04/13/2021,4089,N/A,4089,4089,4089
04/12/2021,4089,N/A,4089,4089,4089
04/09/2021,4089,N/A,4089,4089,4089
04/08/2021,4089,N/A,4089,4089,4089
04/07/2021,4132.8,8,4058.3,4059.2,4058.3
04/06/2021,4009.9,N/A,4009.9,4009.9,4009.9
04/05/2021,4009.9,N/A,4009.9,4009.9,4009.9
04/01/2021,4009.9,N/A,4009.9,4009.9,4009.9
03/31/2021,4064,16,3947.3,3953.7,3947.3
03/30/2021,3947.7,1,3949.3,3949.3,3949.3
03/29/2021,3958.9,16,3943.6,3949.9,3943.6
03/26/2021,3964.8,N/A,3964.8,3964.8,3964.8
03/25/2021,3900.5,N/A,3900.5,3900.5,3900.5
03/24/2021,3907.5,N/A,3907.5,3907.5,3907.5
03/23/2021,3907.5,N/A,3907.5,3907.5,3907.5
03/21/2021,3907.5,N/A,3907.5,3907.5,3907.5
03/19/2021,3880.8,61,3909.2,3909.2,3907
03/18/2021,3906,N/A,3906,3906,3906
03/17/2021,3884,N/A,3884,3884,3884
03/16/2021,3873.3,N/A,3873.3,3873.3,3873.3
03/15/2021,3879.5,N/A,3879.5,3879.5,3879.5
03/12/2021,3853,N/A,3853,3853,3853
03/11/2021,3873.3,N/A,3873.3,3873.3,3873.3
03/10/2021,3873.3,N/A,3873.3,3873.3,3873.3
03/09/2021,3873.3,N/A,3873.3,3873.3,3873.3
03/08/2021,3936.7,2,3813.8,3813.9,3813.8
03/05/2021,3798.8,N/A,3798.8,3798.8,3798.8
03/04/2021,3798.8,N/A,3798.8,3798.8,3798.8
03/03/2021,3839,N/A,3839,3839,3839
03/02/2021,3867.6,7,3895.9,3895.9,3895.3
03/01/2021,3898.8,2,3846.7,3852.9,3846.7
02/26/2021,3809.2,2,3839.9,3839.9,3839.8
02/25/2021,3828,N/A,3828,3828,3828
02/24/2021,3922.6,11,3884.4,3891.9,3884.1
02/23/2021,3918.8,N/A,3918.8,3918.8,3918.8
02/21/2021,3918.8,N/A,3918.8,3918.8,3918.8
02/19/2021,3877.9,3,3918.6,3918.8,3918.6
02/18/2021,3928,N/A,3928,3928,3928
02/17/2021,3928,N/A,3928,3928,3928
02/16/2021,3909.5,7,3950.3,3951,3950.3
02/12/2021,3931.1,N/A,3931.1,3931.1,3931.1
02/11/2021,3931.1,N/A,3931.1,3931.1,3931.1
02/10/2021,3931.1,N/A,3931.1,3931.1,3931.1
02/09/2021,3931.1,N/A,3931.1,3931.1,3931.1
02/08/2021,3931.1,N/A,3931.1,3931.1,3931.1
02/05/2021,3931.1,9,3882.6,3883.5,3882.6
02/04/2021,3864.6,N/A,3864.6,3864.6,3864.6
02/03/2021,3823.6,12,3828.8,3838.7,3828.8
02/02/2021,3765,N/A,3765,3765,3765
01/31/2021,3765,N/A,3765,3765,3765
01/29/2021,3818.3,4,3748,3768,3748
01/28/2021,3779.3,9,3737.2,3746.2,3737.2
01/27/2021,3744.2,N/A,3744.2,3744.2,3744.2
01/26/2021,3842.6,N/A,3842.6,3842.6,3842.6
01/25/2021,3848.4,5,3847.3,3848,3847.3
01/22/2021,3834.2,8,3840.3,3840.3,3840.3
01/21/2021,3846,N/A,3846,3846,3846
01/20/2021,3845,13,3798.9,3814.2,3798.9
01/19/2021,3811.8,N/A,3811.8,3811.8,3811.8
01/15/2021,3811.8,N/A,3811.8,3811.8,3811.8
01/14/2021,3811.8,N/A,3811.8,3811.8,3811.8
01/13/2021,3790.6,N/A,3790.6,3790.6,3790.6
